name,size,type,alignment,languages,ac,hp,cr,speed,swim,fly,climb,burrow,passive_perception,darkvision,truesight,tremorsense,blindsight,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,str_save,dex_save,con_save,int_save,wis_save,cha_save,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,senses,attributes,actions,legendary_actions,legendary,source
androsphinx,large,monstrosity,lawful neutral,"Common, Sphinx",17.0,199,17.0,40,0,60,0,0,20,0,120,0,0,22,6,10,0,20,5,16,3,18,4,23,6,0,6,11,9,10,0,0,10,0,0,0,0,9,15,0,0,0,"truesight 120 ft., passive Perception 20","Inscrutable. The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage. | Magic Weapons. The sphinx's weapon attacks are magical. | Spellcasting. The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared: | Cantrips (at will): sacred flame, spare the dying, thaumaturgy | 1st level (4 slots): command, detect evil and good, detect magic | 2nd level (3 slots): lesser restoration, zone of truth | 3rd level (3 slots): dispel magic, tongues | 4th level (3 slots): banishment, freedom of movement | 5th level (2 slots): flame strike, greater restoration | 6th level (1 slot): heroes' feast | ","Multiattack. The sphinx makes two claw attacks. | Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 17 (2d10 + 6) slashing damage. | Roar (3/Day). The sphinx emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different, as detailed below. Each creature within 500 feet of the sphinx and able to hear the roar must make a saving throw. | First Roar. Each creature that fails a DC 18 Wisdom saving throw is frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. | Second Roar. Each creature that fails a DC 18 Wisdom saving throw is deafened and frightened for 1 minute. A frightened creature is paralyzed and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. | Third Roar. Each creature makes a DC 18 Constitution saving throw. On a failed save, a creature takes 44 (8d10) thunder damage and is knocked prone. On a successful save, the creature takes half as much damage and isn't knocked prone. | ","The sphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The sphinx regains spent legendary actions at the start of its turn. | Claw Attack. The sphinx makes one claw attack. | Teleport (Costs 2 Actions). The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see. | Cast a Spell (Costs 3 Actions). The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.",1,Monster Manual (SRD)
animated-armor,medium,construct,unaligned,none,18.0,33,1.0,25,0,0,0,0,6,0,0,0,60,14,2,11,0,13,1,1,-5,3,-4,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"blindsight 60 ft. (blind beyond this radius), passive Perception 6","Antimagic Susceptibility. The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute. | False. Appearance. While the armor remains motionless, it is indistinguishable from a normal suit of armor. | ","Multiattack. The armor makes two melee attacks. | Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",none,0,Monster Manual (SRD)
ankheg,large,monstrosity,unaligned,none,14.0,39,2.0,30,0,0,0,10,11,60,0,60,0,17,3,11,0,13,1,1,-5,13,1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"darkvision 60 ft., tremorsense 60 ft., passive Perception 11",,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so. | Acid Spray (Recharge 6). The ankheg spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",none,0,Monster Manual (SRD)
ankylosaurus,huge,beast,unaligned,none,15.0,68,3.0,30,0,0,0,0,11,0,0,0,0,19,4,11,0,15,2,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 11,,"Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.",none,0,Monster Manual (SRD)
annis-hag,large,fey,chaotic evil,"Common, Giant, Sylvan",17.0,75,6.0,40,0,0,0,0,15,60,0,0,0,21,5,12,1,14,2,13,1,14,2,15,2,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,"darkvision 60 ft., passive Perception 15","Innate Spellcasting. The hag's innate spellcasting ability is Charisma (spell save DC 13). She can innately cast the following spells: | 3/day each: disguise self (including the form of a Medium humanoid), fog cloud | ","Multiattack. The annis makes three attacks: one with her bite and two with her claws. | Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6 + 5) piercing damage. | Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 15 (3d6 + 5) piercing damage. | Crushing Hug. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 36 (9d6 + 5) bludgeoning damage, and the target is grappled (escape DC 15) if it is a Large or smaller creature. Until the grapple ends, the target takes 36 (9d6 + 5) bludgeoning damage at the start of each of the hag's turns. The hag can't make attacks while grappling a creature in this way.",none,0,Volo's Guide to Monsters
ape,medium,beast,unaligned,none,12.0,19,0.5,30,0,0,30,0,13,0,0,0,0,16,3,14,2,14,2,6,-2,12,1,7,-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,passive Perception 13,,"Multiattack. The ape makes two fist attacks. | Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. | Rock. Ranged Weapon Attack: +5 to hit, range 25/50 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.",none,0,Monster Manual (SRD)
apprentice-wizard,medium,humanoid (any race),any alignment,any one language (usually Common),10.0,9,0.25,30,0,0,0,0,10,0,0,0,0,10,0,10,0,10,0,14,2,10,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,passive Perception 10,unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
arcanaloth,medium,fiend (yugoloth),neutral evil,"all, telepathy 120 ft.",17.0,104,12.0,30,0,30,0,0,17,0,120,0,0,17,3,12,1,14,2,20,5,16,3,17,3,0,5,0,9,7,7,0,7,0,0,9,9,13,0,0,0,0,"truesight 120 ft., passive Perception 17",unavailable,unavailable,unavailable,0,Monster Manual
archdruid,medium,humanoid (any race),any alignment,Druidic plus any two languages,16.0,132,12.0,30,0,0,0,0,19,0,0,0,0,10,0,14,2,12,1,12,1,20,5,11,0,0,0,0,5,9,0,0,9,0,0,0,0,0,0,0,0,0,passive Perception 19,unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
archer,medium,humanoid (any race),any alignment,any one language (usually Common),16.0,75,3.0,30,0,0,0,0,15,0,0,0,0,11,0,18,4,16,3,11,0,13,1,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,passive Perception 15,unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
archmage,medium,humanoid (any race),any alignment,any six languages,12.0,99,12.0,30,0,0,0,0,12,0,0,0,0,10,0,14,2,12,1,20,5,15,2,16,3,0,0,0,9,6,0,13,0,0,0,0,0,13,0,0,0,0,passive Perception 12,"Magic Resistance. The archmage has advantage on saving throws against spells and other magical effects. | Spellcasting. The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The archmage can cast disguise self and invisibility at will and has the following wizard spells prepared: | Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp | 1st level (4 slots): detect magic, identify, mage armor*, magic missile | 2nd level (3 slots): detect thoughts, mirror image, misty step | 3rd level (3 slots): counterspell, fly, lightning bolt | 4th level (3 slots): banishment, fire shield, stoneskin* | 5th level (3 slots): cone of cold, scrying, wall of force | 6th level (1 slot): globe of invulnerability | 7th level (1 slot): teleport | 8th level (1 slot): mind blank* | 9th level (1 slot): time stop | * The archmage casts these spells on itself before combat. | ","Dagger. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",none,0,Monster Manual (SRD)
armanite,large,fiend (demon),chaotic evil,"Abyssal, telepathy 120 ft.",16.0,84,7.0,60,0,0,0,0,11,120,0,0,0,21,5,18,4,21,5,8,-1,12,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"darkvision 120 ft., passive Perception 11",unavailable,unavailable,unavailable,0,Mordenkainen's Tome of Foes
assassin,medium,humanoid (any race),any non-good alignment,Thieves' cant plus any two languages,15.0,78,8.0,30,0,0,0,0,13,0,0,0,0,11,0,16,3,14,2,13,1,11,0,10,0,0,6,0,4,0,0,0,3,9,0,0,3,0,0,6,0,0,passive Perception 13,"Assassinate. During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit. | Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. | Sneak Attack. Once per turn, the assassin deals an extra 14 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll. | ","Multiattack. The assassin makes two shortsword attacks. | Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one. | Light Crossbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.",none,0,Monster Manual (SRD)
assassin-vine,large,plant,unaligned,none,13.0,85,3.0,5,0,0,5,0,10,0,0,0,30,18,4,10,0,16,3,1,-5,10,0,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"blindsight 30 ft., passive Perception 10",unavailable,unavailable,unavailable,0,Adventures (Tomb of Annihilation)
astral-dreadnought,gargantuan,monstrosity (titan),unaligned,none,20.0,297,21.0,15,0,80,0,0,19,120,0,0,0,28,9,7,-2,25,7,5,-3,14,2,18,4,0,5,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,"darkvision 120 ft., passive Perception 19","Antimagic Cone. The astral dreadnought's opened eye creates an area of antimagic, as in the antimagic field spell, in a 150-foot cone. At the start of each of its turns, the dreadnought decides which way the cone faces. The cone doesn't function while the dreadnought's eye is closed or while the dreadnought is blinded. | Astral Entity. The astral dreadnought can't leave the Astral Plane, nor can it be banished or otherwise transported out of the Astral Plane. | Demiplanar Donjon. Any creature or object that the astral dreadnought swallows is transported to a demiplane that can be entered by no other means except a wish spell or this creature's Donjon Visit ability. A creature can leave the demiplane only by using magic that enables planar travel, such as the plane shift spell. The demiplane resembles a stone cave roughly 1,000 feet in diameter with a ceiling 100 feet high. Like a stomach, it contains the remains of the dreadnought's past meals. The dreadnought can't be harmed from within the demiplane. If the dreadnought dies, the demiplane disappears, and everything inside it appears around the corpse. The demiplane is otherwise indestructible. | Legendary Resistance (3/Day). If the astral dreadnought fails a saving throw, it can choose to succeed instead. | Magic Weapons. An astral dreadnought's weapon attacks are magical. | Sever Silver Cord. If the astral dreadnought scores a critical hit against a creature traveling through the Astral Plane by means of the astral projection spell, the dreadnought can cut the target's silver cord instead of dealing damage. | ","Multiattack. The astral dreadnought makes three attacks: one with its bite and two with its claws. | Bite. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 36 (5d10 + 9) piercing damage. If the target is a creature of Huge size or smaller and this damage reduces it to 0 hit points or it is incapacitated, the astral dreadnought swallows it. The swallowed target, along with everything it is wearing and carrying, appears in an unoccupied space on the floor of the astral dreadnought's Demiplanar Donjon. | Claw. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 19 (3d6 + 9) slashing damage. | ","The astral dreadnought can take 3 legendary actions, choosing from the options below. Only one legendary option can be used at a time and only at the end of another creature's turn. The dreadnought regains spent legendary actions at the start of its turn. | Claw. The astral dreadnought makes one claw attack. | Donjon Visit (Costs 2 Actions). One creature that is Huge or smaller that the astral dreadnought can see within 60 feet of it must succeed on a DC 19 Charisma saving throw or be magically teleported to an unoccupied space on the ﬂoor of the astral dreadnought's Demiplanar Donjon. At the end of the target's next turn, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. | Psychic Projection (Costs 3 Actions). Each creature within 60 feet of the astral dreadnought must make a DC 19 Wisdom saving throw, taking 15 (2d10 + 4) psychic damage on a failed save, or half as much damage on a successful one.",1,Mordenkainen's Tome of Foes
atropal,huge,undead (titan),neutral evil,understands Celestial but utters only obscene nonense,7.0,225,13.0,0,0,50,0,0,14,120,120,0,0,19,4,5,-3,22,6,25,7,19,4,24,7,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"darkvision 120 ft., truesight 120 ft., passive Perception 14",unavailable,unavailable,unavailable,0,Adventures (Tomb of Annihilation)
aurochs,large,beast,unaligned,none,11.0,38,2.0,50,0,0,0,0,11,0,0,0,0,20,5,10,0,19,4,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 11,"Charge. If the aurochs moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone. | ","Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) piercing damage.",none,0,Volo's Guide to Monsters
autumn-eladrin,medium,fey (elf),chaotic neutral,"Common, Elvish, Sylvan",19.0,127,10.0,30,0,0,0,0,13,60,0,0,0,12,1,16,3,16,3,14,2,17,3,18,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"darkvision 60 ft., passive Perception 13",unavailable,unavailable,unavailable,0,Mordenkainen's Tome of Foes
awakened-shrub,small,plant,unaligned,one language known by its creator,9.0,10,0.0,20,0,0,0,0,10,0,0,0,0,3,-4,8,-1,11,0,10,0,10,0,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 10,"False Appearance. While the shrub remains motionless, it is indistinguishable from a normal shrub. | ","Rake. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) slashing damage.",none,0,Monster Manual (SRD)
awakened-tree,huge,plant,unaligned,one language known by its creator,13.0,59,2.0,20,0,0,0,0,10,0,0,0,0,19,4,6,-2,15,2,10,0,10,0,7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 10,"False Appearance. While the tree remains motionless, it is indistinguishable from a normal tree. | ","Slam. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) bludgeoning damage.",none,0,Monster Manual (SRD)
axe-beak,large,beast,unaligned,none,11.0,19,0.25,50,0,0,0,0,10,0,0,0,0,14,2,12,1,12,1,2,-4,10,0,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 10,,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.",none,0,Monster Manual (SRD)
azer,medium,elemental,lawful neutral,Ignan,17.0,39,2.0,30,0,0,0,0,11,0,0,0,0,17,3,12,1,15,2,12,1,13,1,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 11,"Heated Body. A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. | Heated Weapons. When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack). | Illumination. The azer sheds bright light in a 10-foot radius and dim light for an additional 10 feet. | ","Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.",none,0,Monster Manual (SRD)
babau,medium,fiend (demon),chaotic evil,Abyssal,16.0,82,4.0,40,0,0,0,0,15,120,0,0,0,19,4,16,3,16,3,11,0,12,1,13,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,"darkvision 120 ft., passive Perception 15",unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
baboon,small,beast,unaligned,none,12.0,3,0.0,30,0,0,30,0,11,0,0,0,0,8,-1,14,2,11,0,4,-3,12,1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 11,Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated. | ,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",none,0,Monster Manual (SRD)
badger,tiny,beast,unaligned,none,10.0,3,0.0,20,0,0,0,5,11,30,0,0,0,4,-3,11,0,12,1,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"darkvision 30 ft., passive Perception 11",Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell. | ,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,0,Monster Manual (SRD)
bael,large,fiend (devil),lawful evil,"all, telepathy 120 ft.",18.0,189,19.0,30,0,0,0,0,23,0,120,0,0,24,7,17,3,20,5,21,5,24,7,24,7,0,9,11,11,0,13,0,13,0,13,0,0,0,0,0,0,13,"truesight 120 ft., passive Perception 23",unavailable,unavailable,unavailable,0,Mordenkainen's Tome of Foes
balhannoth,large,aberration,chaotic evil,"understands Deep Speech, telepathy 1 mile",17.0,114,11.0,25,0,0,25,0,16,0,0,0,500,17,3,8,-1,18,4,6,-2,15,2,8,-1,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"blindsight 500 ft. (blind beyond this radius), passive Perception 16",unavailable,unavailable,unavailable,0,Mordenkainen's Tome of Foes
balor,huge,fiend (demon),chaotic evil,"Abyssal, telepathy 120 ft.",19.0,262,19.0,40,0,80,0,0,13,0,120,0,0,26,8,15,2,22,6,20,5,16,3,22,6,14,0,12,0,9,12,0,0,0,0,0,0,0,0,0,0,0,"truesight 120 ft., passive Perception 13","Death Throes. When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons. | Fire Aura. At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage. | Magic Resistance. The balor has advantage on saving throws against spells and other magical effects. | Magic Weapons. The balor's weapon attacks are magical. | ","Multiattack. The balor makes two attacks: one with its longsword and one with its whip. | Longsword. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) slashing damage plus 13 (3d8) lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice. | Whip. Melee Weapon Attack: +14 to hit, reach 30 ft., one target. Hit: 15 (2d6 + 8) slashing damage plus 10 (3d6) fire damage, and the target must succeed on a DC 20 Strength saving throw or be pulled up to 25 feet toward the balor. | Teleport. The balor magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.",none,0,Monster Manual (SRD)
banderhobb,large,monstrosity,neutral evil,"understands Common and the languages of its creator, but can't speak",15.0,84,5.0,30,0,0,0,0,12,120,0,0,0,20,5,12,1,20,5,11,0,14,2,8,-1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,"darkvision 120 ft., passive Perception 12",unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
bandit,medium,humanoid (any race),any non-lawful alignment,any one language (usually Common),12.0,11,0.125,30,0,0,0,0,10,0,0,0,0,11,0,12,1,12,1,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passive Perception 10,,"Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. | Light Crossbow. Ranged Weapon Attack: +3 to hit, range 80 ft./320 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",none,0,Monster Manual (SRD)
bandit-captain,medium,humanoid (any race),any non-lawful alignment,any two languages,15.0,65,2.0,30,0,0,0,0,10,0,0,0,0,15,2,16,3,14,2,14,2,11,0,14,2,4,5,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,passive Perception 10,,"Multiattack. The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers. | Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage. | Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage. | Parry. The captain adds 2 to its AC against one melee attack that would hit it. To do so, the captain must see the attacker and be wielding a melee weapon.",none,0,Monster Manual (SRD)
banshee,medium,undead,chaotic evil,"Common, Elvish",12.0,58,4.0,0,0,40,0,0,10,60,0,0,0,1,-5,14,2,10,0,12,1,11,0,17,3,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,"darkvision 60 ft., passive Perception 10",Detect Life. The banshee can magically sense the presence of creatures up to 5 miles away that aren't undead or constructs. She knows the general direction they're in but not their exact locations. | Incorporeal Movement. The banshee can move through other creatures and objects as if they were difficult terrain. She takes 5 (1d10) force damage if she ends her turn inside an object. | ,"Corrupting Touch. Melee Spell Attack: +4 to hit, reach 5 ft., one target. Hit: 12 (3d6 + 2) necrotic damage. | Horrifying Visage. Each non-undead creature within 60 feet of the banshee that can see her must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if the banshee is within line of sight, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the banshee's Horrifying Visage for the next 24 hours. | Wail (1/Day). The banshee releases a mournful wail, provided that she isn't in sunlight. This wail has no effect on constructs and undead. All other creatures within 30 feet of her that can hear her must make a DC 13 Constitution saving throw. On a failure, a creature drops to 0 hit points. On a success, a creature takes 10 (3d6) psychic damage.",none,0,Monster Manual (SRD)
baphomet,huge,fiend (demon),chaotic evil,"all, telepathy 120 ft.",22.0,275,23.0,40,0,0,0,0,24,0,120,0,0,30,1,14,2,26,8,18,4,24,7,16,3,0,9,15,0,14,0,0,14,0,0,0,0,0,0,0,0,17,"truesight 120 ft., passive Perception 24",unavailable,unavailable,unavailable,0,Mordenkainen's Tome of Foes
barbed-devil,medium,fiend (devil),lawful evil,"Infernal, telepathy 120 ft.",15.0,110,5.0,30,0,0,0,0,18,120,0,0,0,16,3,17,3,18,4,12,1,14,2,14,2,6,0,7,0,5,5,0,8,0,0,5,5,0,0,0,0,0,"darkvision 120 ft., passive Perception 18","Barbed Hide. At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it. | Devil's Sight. Magical darkness doesn't impede the devil's darkvision. | Magic Resistance. The devil has advantage on saving throws against spells and other magical effects. | ","Multiattack. The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice. | Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. | Tail. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. | Hurl Flame. Ranged Spell Attack: +5 to hit, range 150 ft., one target. Hit: 10 (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.",none,0,Monster Manual (SRD)
bard,medium,humanoid (any race),any alignment,any two languages,15.0,44,2.0,30,0,0,0,0,15,0,0,0,0,11,0,14,2,12,1,10,0,13,1,14,2,0,4,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,passive Perception 15,unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
barghest,large,fiend (shapechanger),neutral evil,"Abyssal, Common, Goblin, Infernal, telepathy 60 ft.",17.0,90,4.0,60,0,0,0,0,15,60,0,0,60,19,4,15,2,14,2,13,1,12,1,14,2,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,4,"blindsight 60 ft., darkvision 60 ft., passive Perception 15","Shapechanger. The barghest can use its action to polymorph into a Small goblin or back into its true form. Other than its size and speed, its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. The barghest reverts to its true form if it dies. | Fire Banishment. When the barghest starts its turn engulfed in flames that are at least 10 feet high or wide, it must succeed on a DC 15 Charisma saving throw or be instantly banished to Gehenna. Instantaneous bursts of flame (such as a red dragon's breath or a fireball spell) don't have this effect on the barghest. | Keen Smelt. The barghest has advantage on Wisdom (Perception) checks that rely on smell. | Innate Spellcasting. The barghest's innate spellcasting ability is Charisma (spell save DC 12). The barghest can innately cast the following spells, requiring no material components: | At will: levitate, minor illusion, pass without trace | 1/day each: charm person, dimension door, suggestion | ","Bite. Melee Weapon Attack (true form only): +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage. | Claws. Melee Weapon Attack. +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.",none,0,Volo's Guide to Monsters
barlgura,large,fiend (demon),chaotic evil,"Abyssal, telepathy 120 ft.",15.0,68,5.0,40,0,0,40,0,15,120,0,0,30,18,4,15,2,16,3,7,-2,14,2,9,-1,0,5,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,"blindsight 30 ft., darkvision 120 ft., passive Perception 15","Innate Spellcasting. The barlgura's spellcasting ability is Wisdom (spell save DC 13). The barlgura can innately cast the following spells, requiring no material components: | 1/day each: entangle, phantasmal force | 2/day each: disguise self, invisibility (self only) | Reckless. At the start of its turn, the barlgura can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn. | Running Leap. The barlgura's long jump is up to 40 feet and its high jump is up to 20 feet when it has a running start. | ","Multiattack. The barlgura makes three attacks: one with its bite and two with its fists. | Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage. | Fist. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) bludgeoning damage.",none,0,Monster Manual (BR)
